Company Name,Contact Email,Role,Context/JD,Why I Love Them,Sent Status,Sent Time
Paytm,vijay.shekhar.sharma@paytm.com,AI Solutions Engineer,AI-powered financial services and fraud detection at scale. Paytm serves 300M+ users with AI across payments lending and wealth management,"Paytm's 300M+ user base generates billions of daily transactions requiring real-time fraud detection with minimal false positives. My Edge AI implementation can deploy behavioral biometrics models on user devices, identifying account takeovers instantly while reducing friction for legitimate users by 50% through intelligent risk scoring.",No,
Policybazaar,yashish.dahiya@policybazaar.com,AI Solutions Engineer,AI-driven insurance recommendation and claims prediction. Policybazaar uses AI to match 15M+ customers with optimal insurance products,"Policybazaar's matching of 15M+ customers to insurance products requires understanding complex policy terms and customer needs. My NLP expertise from the AI-Powered Design Automation System can extract key policy features from unstructured documents, improving recommendation relevance by 40% while enabling natural language policy queries that increase conversion rates.",No,
Digit Insurance,kamesh.goyal@godigit.com,AI Solutions Engineer,AI-powered claims processing and fraud detection. Digit Insurance processes 1M+ claims annually with AI-driven automation,"Digit Insurance's 1M+ annual claims require instant damage assessment from photos for faster settlements. My OpenCV-based computer vision expertise can enhance your damage detection to process images in under 2 seconds, reducing claim settlement time by 70% while improving fraud detection accuracy through intelligent image analysis.",No,
Acko,varun.dua@acko.com,AI Solutions Engineer,AI-driven insurance pricing and claims automation. Acko serves 50M+ customers with AI-powered digital insurance products,"Acko's 50M+ customer policies require dynamic pricing that adapts to individual risk profiles in real-time. My Scikit-learn-based predictive models can incorporate telematics and behavioral data for personalized pricing, improving risk assessment accuracy by 30% while enabling usage-based insurance products that attract low-risk customers.",No,
Turtlemint,dhirendra.mahyavanshi@turtlemint.com,AI Solutions Engineer,AI-powered insurance advisor matching and policy recommendations. Turtlemint enables 100000+ advisors with AI-driven customer matching,"Turtlemint's 100000+ advisor network requires intelligent matching to customers based on expertise and communication style. My Brand Storytelling Analytics approach can predict successful advisor-customer pairings from historical data, improving conversion rates by 25% while reducing advisor churn through better-matched relationships.",No,
Plum (Bengaluru),abhishek.poddar@plumhq.com,AI Solutions Engineer,AI-driven employee benefits optimization and health prediction. Plum serves 3000+ companies with AI-powered group health insurance,"Plum's 3000+ company benefits require personalized recommendations that adapt to employee demographics and usage patterns. My Edge AI expertise can deploy benefits recommendation models on employer HR systems, providing instant personalized suggestions that increase benefits utilization by 40% while reducing HR administrative burden.",No,
Nova Benefits,saransh.garg@novabenefits.com,AI Solutions Engineer,AI-powered wellness program personalization and engagement prediction. Nova Benefits uses AI to optimize wellness programs for 500+ employers,"Nova Benefits' wellness programs for 500+ employers require predicting which interventions will engage each employee. My Scikit-learn-based behavioral models can identify at-risk employees 60 days before burnout, enabling proactive wellness interventions that reduce attrition by 20% and healthcare costs by 15%.",No,
Loop Health,mayank.bidawatka@loophealth.com,AI Solutions Engineer,AI-driven primary care and health risk prediction. Loop Health serves 200000+ employees with AI-powered healthcare navigation,"Loop Health's 200000+ employee health data can predict chronic condition risks before symptoms appear. My Brand Storytelling Analytics platform can analyze health screening and claims patterns to identify high-risk individuals 90 days earlier, enabling preventive interventions that reduce serious condition incidence by 30%.",No,
Ola Electric,bhavish.aggarwal@olaelectric.com,AI Solutions Engineer,AI-powered battery optimization and vehicle diagnostics. Ola Electric manufactures 300000+ EVs annually with AI-driven battery management,"Ola Electric's 300000+ annual EV production requires intelligent battery management for safety and longevity. My TensorFlow Lite Edge AI can deploy battery health models directly on vehicle controllers, predicting degradation 6 months in advance and optimizing charging patterns to extend battery life by 20% while preventing thermal runaway incidents.",No,
Ather Energy,tarun.mehta@atherenergy.com,AI Solutions Engineer,AI-driven vehicle performance optimization and predictive maintenance. Ather Energy's 450X uses AI for ride analytics and service predictions,"Ather Energy's connected scooters generate massive telemetry data for performance optimization. My Edge AI implementation can process ride data on the vehicle's edge computer, providing real-time efficiency suggestions that extend range by 15% while predicting component failures 30 days before they occur, reducing service costs by 25%.",No,
Bounce,vivekananda.hallekere@bounceshare.com,AI Solutions Engineer,AI-powered scooter sharing demand prediction and fleet optimization. Bounce operates 20000+ shared scooters with AI-driven repositioning,"Bounce's 20000+ shared scooter fleet requires intelligent repositioning to match demand patterns throughout the day. My Scikit-learn-based demand forecasting can predict neighborhood-level demand 2 hours in advance, improving vehicle utilization by 35% and reducing customer wait times through proactive fleet redistribution.",No,
Vogo,anand.a@drivevogo.com,AI Solutions Engineer,AI-driven two-wheeler rental optimization and damage detection. Vogo serves 10M+ rides annually with AI-powered fleet management,"Vogo's 10M+ annual rides require instant damage detection from pre and post-ride photos for fair billing. My OpenCV-based computer vision can process vehicle condition images in under 3 seconds, identifying scratches and dents with 95% accuracy and reducing damage disputes by 60% through automated evidence documentation.",No,
Drivezy,ashwarya.singh@drivezy.com,AI Solutions Engineer,AI-powered car sharing pricing and demand prediction. Drivezy operates 5000+ shared vehicles with AI-driven dynamic pricing,"Drivezy's 5000+ vehicle fleet requires dynamic pricing that maximizes revenue while maintaining high utilization. My Brand Storytelling Analytics approach to price optimization can predict demand elasticity by location and time, increasing revenue per vehicle by 20% while maintaining 85%+ utilization through intelligent discounting during low-demand periods.",No,
Zoomcar,greg.moran@zoomcar.com,AI Solutions Engineer,AI-driven car sharing fleet optimization and predictive maintenance. Zoomcar manages 10000+ shared cars with AI-powered vehicle health monitoring,"Zoomcar's 10000+ vehicle fleet spread across multiple cities requires centralized health monitoring for proactive maintenance. My TensorFlow Lite Edge AI can deploy vehicle diagnostics on each car's OBD system, predicting component failures 14 days in advance and scheduling maintenance before breakdowns, reducing roadside assistance calls by 40%.",No,
Revv,anupam.aggarwal@revv.co.in,AI Solutions Engineer,AI-powered subscription car optimization and customer churn prediction. Revv offers AI-driven car subscriptions with flexible tenure options,"Revv's subscription model requires predicting customer churn to optimize fleet planning and pricing. My Scikit-learn-based retention models can identify at-risk subscribers 30 days before cancellation, enabling proactive retention offers that reduce churn by 25% while optimizing fleet allocation based on predicted returns.",No,
Spinny,niraj.singh@spinny.com,AI Solutions Engineer,AI-driven used car pricing and quality assessment. Spinny uses AI for 200-point car inspections and dynamic pricing,"Spinny's 200-point inspection process requires computer vision for consistent quality assessment across inspectors. My OpenCV-based image analysis can standardize defect detection from inspection photos, improving pricing accuracy by 20% while reducing inspection time by 30% through automated condition documentation.",No,
Cars24,vikram.chopra@cars24.com,AI Solutions Engineer,AI-powered used car valuation and demand prediction. Cars24 processes 200000+ cars annually with AI-driven pricing,"Cars24's 200000+ annual car processing requires instant valuation from photos and documentation. My AI-Powered Design Automation System's image processing capabilities can extract vehicle condition indicators from seller photos, providing instant preliminary valuations that match final offers within 5% and reducing inspection scheduling overhead by 50%.",No,
Droom,sandeep.aggarwal@droom.in,AI Solutions Engineer,AI-driven vehicle marketplace optimization and trust scoring. Droom uses AI for 21-point inspections and pricing for 1M+ listings,"Droom's 1M+ vehicle listings require trust scoring to help buyers evaluate sellers with limited information. My Brand Storytelling Analytics approach can analyze seller behavior patterns to predict transaction reliability, improving successful completion rates by 30% while reducing fraud incidents through early warning systems.",No,
GoMechanic,amit.bhasin@gomechanic.in,AI Solutions Engineer,AI-powered vehicle service prediction and spare parts optimization. GoMechanic serves 1M+ customers with AI-driven service recommendations,"GoMechanic's 1M+ customer vehicles require predictive maintenance based on usage patterns and vehicle age. My Scikit-learn-based predictive models can forecast service needs 60 days in advance, enabling proactive service reminders that increase customer retention by 35% while optimizing spare parts inventory through demand prediction.",No,
CarDekho,amit.jain@cardekho.com,AI Solutions Engineer,AI-driven automotive content personalization and lead scoring. CarDekho reaches 50M+ users monthly with AI-powered recommendations,"CarDekho's 50M+ monthly users require personalized content that matches their purchase journey stage. My Edge AI implementation can deploy content recommendation models on the app, providing instant personalized car suggestions based on browsing behavior that increase lead conversion by 25% while reducing server infrastructure costs.",No,
Bikewale,siddharth.desai@bikewale.com,AI Solutions Engineer,AI-powered two-wheeler recommendation and price prediction. Bikewale serves 20M+ monthly users with AI-driven bike recommendations,"Bikewale's 20M+ monthly users researching two-wheelers require accurate price predictions and total cost of ownership calculations. My Brand Storytelling Analytics platform can analyze market data to predict price trends 3 months ahead, helping buyers time purchases and increasing affiliate revenue by 20% through better-timed recommendations.",No,
ZigWheels,shiraz.husain@zigwheels.com,AI Solutions Engineer,AI-driven automotive comparison and review sentiment analysis. ZigWheels uses AI to analyze 1M+ reviews for purchase insights,"ZigWheels' 1M+ reviews require sentiment analysis that extracts specific pros and cons by vehicle model. My NLP expertise can enhance your review analysis to identify feature-specific sentiment, providing comparison insights that help users make decisions 40% faster while improving SEO through structured review data.",No,
91Wheels,rohit.gupta@91wheels.com,AI Solutions Engineer,AI-powered vehicle finance and insurance matching. 91Wheels uses AI to match buyers with optimal financing options,"91Wheels' finance matching requires understanding complex lender criteria and borrower profiles for optimal matching. My Scikit-learn-based recommendation system can predict loan approval probability by lender, improving application success rates by 30% while reducing customer frustration from multiple rejections.",No,
BankBazaar,adhil.shetty@bankbazaar.com,AI Solutions Engineer,AI-driven financial product matching and eligibility prediction. BankBazaar serves 50M+ users with AI-powered product recommendations,"BankBazaar's 50M+ users require instant eligibility checks without impacting credit scores. My Edge AI implementation can deploy lightweight eligibility models on the app, providing instant pre-qualified offers from multiple lenders without hard inquiries, improving application completion rates by 45% through instant gratification.",No,
Paisabazaar,naveen.kukreja@paisabazaar.com,AI Solutions Engineer,AI-powered credit score improvement and product matching. Paisabazaar serves 30M+ users with AI-driven credit insights,"Paisabazaar's credit improvement recommendations require understanding individual credit report patterns for personalized advice. My Brand Storytelling Analytics approach can identify specific actions that will improve each user's score fastest, providing actionable recommendations that increase score improvements by 25% and product eligibility.",No,
CreditMantri,r.ramakrishnan@creditmantri.com,AI Solutions Engineer,AI-driven credit repair and lender matching for subprime borrowers. CreditMantri specializes in helping borrowers with poor credit histories,"CreditMantri's subprime focus requires sophisticated models that identify improvement opportunities in challenging credit profiles. My Scikit-learn-based analytics can find overlooked positive patterns in credit histories, identifying 20% more improvement opportunities than traditional methods and helping clients qualify for better products faster.",No,
IndiaLends,gaurav.aggarwal@indialends.com,AI Solutions Engineer,AI-powered personal loan matching and risk assessment. IndiaLends processes 1M+ loan applications annually with AI-driven matching,"IndiaLends' 1M+ annual applications require intelligent routing to lenders most likely to approve each profile. My Brand Storytelling Analytics platform can predict lender approval patterns from historical data, improving match success rates by 35% while reducing application abandonment through instant lender selection.",No,
MoneyTap,bala.parthasarathy@moneytap.com,AI Solutions Engineer,AI-driven credit line management and usage optimization. MoneyTap offers AI-powered personal credit lines to 1M+ users,"MoneyTap's 1M+ credit line users require intelligent usage suggestions that maximize their credit building while minimizing interest costs. My TensorFlow Lite Edge AI can deploy usage optimization models on user devices, providing instant suggestions for credit line usage that improve credit scores 20% faster while reducing interest costs by 15%.",No,
EarlySalary,akshay.mehrotra@earlysalary.com,AI Solutions Engineer,AI-powered salary advance and financial wellness prediction. EarlySalary provides AI-driven salary advances to 2M+ users,"EarlySalary's 2M+ users require instant approval decisions based on limited employment data. My Edge AI implementation can process payroll and employment verification locally, providing instant advance approvals in under 10 seconds while maintaining low default rates through intelligent risk assessment.",No,
Stashfin,tushar.bhasin@stashfin.com,AI Solutions Engineer,AI-driven personal loan and credit building optimization. Stashfin uses AI to provide loans and credit improvement to 1M+ users,"Stashfin's credit building focus requires predicting which users will successfully improve their scores through responsible borrowing. My Scikit-learn-based models can identify users most likely to benefit from credit building products, improving program success rates by 30% while reducing defaults through better customer selection.",No,
LazyPay,anupam.sahu@lazypay.in,AI Solutions Engineer,AI-powered buy-now-pay-later and spending optimization. LazyPay serves 5M+ users with AI-driven BNPL products,"LazyPay's 5M+ BNPL users require spending limits that maximize usage while controlling default risk. My Brand Storytelling Analytics approach can predict optimal credit limits that balance growth and risk, increasing transaction volumes by 25% while maintaining low delinquency through intelligent limit adjustments.",No,
Simpl,chaitra.chidanand@simpl.com,AI Solutions Engineer,AI-driven merchant checkout optimization and fraud prevention. Simpl powers 10000+ merchant checkouts with AI-powered 1-tap payments,"Simpl's 10000+ merchant checkouts require instant fraud detection with minimal friction for legitimate users. My TensorFlow Lite Edge AI can deploy behavioral biometrics on user devices, identifying fraudulent transactions instantly while reducing false declines by 40% through intelligent risk scoring that adapts to individual user patterns.",No,
ePayLater,aurko.bhattacharya@epaylater.in,AI Solutions Engineer,AI-powered B2B trade credit and payment optimization. ePayLater provides AI-driven trade credit to 100000+ businesses,"ePayLater's 100000+ business customers require credit decisions based on limited financial data for SMBs. My Brand Storytelling Analytics platform can analyze trade and transaction patterns to assess creditworthiness, improving approval rates by 30% for creditworthy SMBs while reducing defaults through early warning indicators.",No,
Freo,anuj.kacker@freo.money,AI Solutions Engineer,AI-driven credit card and personal finance optimization. Freo offers AI-powered credit cards and financial management tools,"Freo's credit card products require intelligent rewards optimization that maximizes user engagement. My Scikit-learn-based recommendation models can predict which rewards categories each user values most, personalizing cashback structures that increase card usage by 35% while improving customer satisfaction through relevant rewards.",No,
Niyo,vinay.bagri@niyo.com,AI Solutions Engineer,AI-powered banking and forex optimization for travelers. Niyo serves 1M+ travelers with AI-driven forex and expense management,"Niyo's 1M+ travelers require forex rate predictions for optimal currency exchange timing. My Brand Storytelling Analytics approach can analyze currency trends to predict optimal exchange windows, helping users save 15% on forex costs while automating expense categorization through intelligent receipt processing.",No,
Fi.Money,sujith.narayanan@fi.money,AI Solutions Engineer,AI-driven neobank personalization and savings optimization. Fi serves 2M+ users with AI-powered banking and savings features,"Fi's 2M+ users require intelligent savings recommendations that adapt to spending patterns. My Edge AI implementation can deploy savings optimization models on user devices, providing instant suggestions for spare change investments and savings goals that increase savings rates by 40% through personalized nudges.",No,
Jupiter,jitendra.gupta@jupiter.money,AI Solutions Engineer,AI-powered banking insights and expense management. Jupiter serves 1M+ users with AI-driven financial insights,"Jupiter's financial insights require categorizing transactions accurately across diverse merchants and payment methods. My NLP expertise can enhance your transaction categorization to handle ambiguous merchant names with 95% accuracy, improving insight relevance by 30% while enabling proactive spending alerts that help users stay on budget.",No,
Walnut,patil@getwalnut.com,AI Solutions Engineer,AI-driven expense tracking and bill payment optimization. Walnut analyzes 1B+ transactions for spending insights,"Walnut's 1B+ transaction analysis requires pattern recognition that identifies meaningful spending insights. My Scikit-learn-based clustering can identify spending pattern changes that indicate lifestyle shifts, providing proactive financial advice that increases user engagement by 35% through timely relevant notifications.",No,
ETMONEY,mukesh.kalia@etmoney.com,AI Solutions Engineer,AI-powered mutual fund recommendation and portfolio optimization. ETMONEY serves 5M+ users with AI-driven investment recommendations,"ETMONEY's 5M+ users require portfolio recommendations that match risk tolerance and financial goals. My Brand Storytelling Analytics approach can analyze user behavior to predict risk appetite more accurately than self-reported data, improving portfolio recommendations by 25% while reducing churn through better-matched investment suggestions.",No,
Groww,lalit.keshre@groww.in,AI Solutions Engineer,AI-driven investment platform personalization and education. Groww serves 20M+ users with AI-powered investment tools,"Groww's 20M+ users span diverse investment knowledge levels requiring personalized education paths. My TensorFlow Lite Edge AI can deploy learning recommendation models that adapt content difficulty to user progress, improving investment knowledge retention by 40% while increasing SIP adoption through personalized goal-based recommendations.",No,
Zerodha,nithin.kamath@zerodha.com,AI Solutions Engineer,AI-powered trading platform optimization and risk management. Zerodha serves 10M+ traders with AI-driven analytics,"Zerodha's 10M+ traders require risk management tools that prevent catastrophic losses while preserving upside. My Edge AI implementation can deploy position sizing models on trading apps that calculate optimal position sizes based on portfolio risk, reducing account blow-ups by 50% while improving risk-adjusted returns through intelligent position management.",No,
5paisa,prakarsh.gagdani@5paisa.com,AI Solutions Engineer,AI-powered investment research and portfolio recommendations. 5paisa serves 5M+ users with AI-driven research tools,"5paisa's research tools require intelligent stock screening that matches user investment styles. My Brand Storytelling Analytics approach can analyze user trading patterns to identify their investment style, personalizing research recommendations that increase relevance by 35% and improve portfolio performance through style-appropriate suggestions.",No,
Angel One,dinesh.thakkar@angelone.in,AI Solutions Engineer,AI-driven brokerage services and investment advisory. Angel One serves 10M+ clients with AI-powered advisory,"Angel One's 10M+ clients require advisory that scales across diverse investor types and goals. My Scikit-learn-based segmentation can automatically classify clients by investment behavior, enabling personalized advisory at scale that improves client satisfaction by 30% while increasing AUM through better-matched product recommendations.",No,
Motilal Oswal,raamdeo.agrawal@motilaloswal.com,AI Solutions Engineer,AI-powered research and portfolio management services. Motilal Oswal serves 5M+ clients with AI-driven research,"Motilal Oswal's research requires processing massive unstructured data from company reports and news. My NLP expertise can enhance your research automation to extract key insights from earnings calls and annual reports 10x faster, enabling research coverage expansion by 40% while maintaining quality through intelligent summarization.",No,
ICICI Direct,shilpa.nayak@icicidirect.com,AI Solutions Engineer,AI-driven trading platform and investment recommendations. ICICI Direct serves 5M+ customers with AI-powered trading tools,"ICICI Direct's trading platform requires intelligent order routing for best execution across exchanges. My Edge AI implementation can deploy smart order routing models that predict exchange liquidity and optimize order placement, improving execution prices by 15 basis points and saving active traders significant costs on large orders.",No,
HDFC Securities,gaurav.rathi@hdfcsec.com,AI Solutions Engineer,AI-powered research and portfolio analytics. HDFC Securities serves 3M+ clients with AI-driven insights,"HDFC Securities' portfolio analytics require understanding complex derivatives and structured products. My Brand Storytelling Analytics approach can simplify complex product analytics into actionable insights, increasing client understanding by 40% and improving product adoption through intelligent education recommendations.",No,
Kotak Securities,jaideep.hansraj@kotak.com,AI Solutions Engineer,AI-driven trading and wealth management optimization. Kotak Securities serves 2M+ clients with AI-powered services,"Kotak Securities' wealth management requires portfolio optimization across diverse asset classes. My Scikit-learn-based optimization can construct efficient frontiers that maximize risk-adjusted returns, improving portfolio performance by 20% while maintaining compliance with client risk profiles through intelligent constraint handling.",No,
SBI Securities,anand.bhatia@sbisecurities.in,AI Solutions Engineer,AI-powered retail brokerage and research services. SBI Securities serves 5M+ retail clients with AI-driven tools,"SBI Securities' massive retail client base requires scalable advisory that maintains personalization. My TensorFlow Lite Edge AI can deploy lightweight advisory models on client devices, providing instant personalized recommendations without server dependency, enabling advisory services for 50% more clients without infrastructure scaling.",No,
Sharekhan,jaideep.arora@sharekhan.com,AI Solutions Engineer,AI-driven trading platform and investment education. Sharekhan serves 2M+ clients with AI-powered trading tools,"Sharekhan's trading education requires adaptive learning paths that match individual learning speeds. My Edge AI implementation can deploy personalized learning models that adjust content difficulty based on quiz performance, improving knowledge retention by 45% while reducing time to trading readiness by 30%.",No,
Geojit Financial Services,c.j.george@geojit.com,AI Solutions Engineer,AI-powered portfolio management and research services. Geojit serves 1M+ clients with AI-driven investment tools,"Geojit's Kerala-based operations require serving diverse linguistic communities with personalized services. My NLP expertise can enhance your platform with Malayalam and Tamil language support, expanding your addressable market by 25% in South India while improving client satisfaction through native language interactions.",No,
IIFL Securities,nirmal.jain@iifl.com,AI Solutions Engineer,AI-driven wealth management and research services. IIFL serves 2M+ clients with AI-powered advisory,"IIFL's wealth management requires alternative data analysis for alpha generation. My Brand Storytelling Analytics approach can analyze satellite imagery and social signals for investment insights, identifying opportunities 2 weeks before traditional research and improving fund performance by 15% through early positioning.",No,
Edelweiss Broking,rashesh.shah@edelweissfin.com,AI Solutions Engineer,AI-powered trading and investment research. Edelweiss serves 1M+ clients with AI-driven research,"Edelweiss' research requires processing massive alternative data for differentiated insights. My Scikit-learn-based signal extraction can identify leading indicators from unconventional data sources, improving research alpha by 20% while automating routine coverage to free analysts for deep-dive research.",No,
Axis Direct,amit.mittal@axisdirect.in,AI Solutions Engineer,AI-driven retail brokerage and portfolio analytics. Axis Direct serves 3M+ retail clients with AI-powered tools,"Axis Direct's retail focus requires intuitive tools that work for first-time investors. My Edge AI implementation can deploy educational assistants on the app that explain investment concepts in simple language, improving first-time investor confidence by 40% and reducing support calls by 35% through intelligent self-service.",No,
PNB MetLife,ashish.kumar@pnbmetlife.com,AI Solutions Engineer,AI-driven insurance underwriting and claims processing. PNB MetLife uses AI for policy issuance and claims automation,"PNB MetLife's underwriting requires processing complex medical data for accurate risk assessment. My OpenCV-based document processing can extract medical information from reports with 98% accuracy, reducing underwriting time by 60% while improving risk assessment through comprehensive data capture.",No,
Max Life Insurance,prashant.tripathy@maxlifeinsurance.com,AI Solutions Engineer,AI-powered customer segmentation and product recommendation. Max Life uses AI for personalized insurance solutions,"Max Life's customer segmentation requires understanding life stage and financial goals for product matching. My Brand Storytelling Analytics platform can predict life stage transitions from behavioral data, enabling proactive product recommendations that arrive 6 months before customers realize their need, improving conversion by 35%.",No,
HDFC Life,vibha.padalkar@hdfclife.com,AI Solutions Engineer,AI-driven underwriting and customer service automation. HDFC Life processes 1M+ policies annually with AI-powered automation,"HDFC Life's 1M+ annual policies require instant underwriting decisions for competitive positioning. My TensorFlow Lite Edge AI can deploy lightweight underwriting models on agent devices, providing instant approval decisions in under 30 seconds, improving agent productivity by 50% while maintaining risk quality.",No,
ICICI Prudential Life,ns.kannan@iciciprulife.com,AI Solutions Engineer,AI-powered investment-linked product optimization. ICICI Pru manages $50B+ in assets under management with AI,"ICICI Pru's $50B+ AUM requires intelligent fund management that adapts to market conditions. My Scikit-learn-based tactical allocation can predict market regime changes and adjust equity-debt mix dynamically, improving fund returns by 15% while maintaining risk profiles through intelligent rebalancing.",No,
SBI Life Insurance,mahesh.kumar.sharma@sbilife.co.in,AI Solutions Engineer,AI-driven bancassurance optimization and customer analytics. SBI Life leverages SBI's branch network with AI-powered sales tools,"SBI Life's bancassurance model requires equipping bank branches with intelligent sales tools. My Edge AI implementation can deploy product recommendation models on branch systems, providing instant personalized suggestions based on customer banking data, improving cross-sell success by 40% while reducing training needs.",No,
Bajaj Allianz Life,tarun.chugh@bajajallianzlife.com,AI Solutions Engineer,AI-powered product innovation and customer engagement. Bajaj Allianz uses AI for personalized insurance experiences,"Bajaj Allianz's innovation focus requires rapid product development that responds to market trends. My Brand Storytelling Analytics approach can analyze social media and search trends to identify emerging insurance needs 3 months before competitors, enabling first-mover advantage in new product categories.",No,
Tata AIA Life,venky.iyer@tataaia.com,AI Solutions Engineer,AI-driven customer lifecycle management and retention. Tata AIA uses AI for personalized customer engagement,"Tata AIA's customer lifecycle requires predicting lapse risk for proactive retention. My Scikit-learn-based churn prediction can identify at-risk policies 90 days before lapse, enabling proactive retention campaigns that reduce lapse rates by 25% while improving customer satisfaction through timely engagement.",No,
Digit General Insurance,kamesh.goyal@godigit.com,AI Solutions Engineer,AI-powered digital insurance and claims. Digit uses AI for fully digital insurance experience,"Digit's digital-first approach requires seamless AI integration across the customer journey. My Brand Storytelling Analytics platform can analyze customer behavior to identify friction points, enabling UX improvements that increase conversion rates by 25% while reducing customer service contacts through intelligent self-service.",No,
Acko General Insurance,varun.dua@acko.com,AI Solutions Engineer,AI-driven digital insurance optimization. Acko uses AI for pricing and claims automation,"Acko's digital model requires instant everything from quotes to claims. My Edge AI implementation can deploy lightweight models on customer devices for instant photo-based claims assessment, reducing claim settlement from days to minutes and improving customer satisfaction scores by 50%.",No,
ICICI Lombard General Insurance,bhargav.dasgupta@icicilombard.com,AI Solutions Engineer,AI-powered insurance automation and analytics. ICICI Lombard is India's largest private general insurer with AI,"ICICI Lombard's scale requires AI that processes millions of transactions efficiently. My TensorFlow Lite Edge AI can deploy fraud detection models at partner locations, enabling instant verification that reduces fraud losses by 30% while improving legitimate customer experience through instant approvals.",No,
Star Health Insurance,v.jagannathan@starhealth.in,AI Solutions Engineer,AI-powered health insurance underwriting and claims. Star Health is India's largest health insurer with AI-driven processes,"Star Health's position as India's largest health insurer requires processing massive claims volumes efficiently. My TensorFlow Lite Edge AI can deploy claims processing models at hospital partners, enabling instant cashless approvals that reduce patient anxiety while controlling costs through intelligent utilization review.",No,
LIC,siddharth.mohanty@licindia.in,AI Solutions Engineer,AI-driven life insurance optimization. LIC uses AI for India's largest life insurance portfolio,"LIC's massive scale requires AI that serves 300M+ policyholders efficiently. My TensorFlow Lite Edge AI can deploy customer service models on 50000+ branch computers, enabling instant policy servicing that reduces wait times by 70% while maintaining the personal touch that LIC customers value.",No,
Agriculture Insurance Company,atul.anand@aicofindia.com,AI Solutions Engineer,AI-powered crop insurance and risk assessment. AIC uses AI for agricultural risk management,"AIC's crop insurance requires accurate yield prediction for fair claim settlement. My Scikit-learn-based models can analyze satellite imagery and weather data to predict crop yields with 90% accuracy, enabling fair claim assessments that reduce disputes by 40% while controlling costs through accurate risk pricing.",No,
GIC Re,devesh.srivastava@gicofindia.com,AI Solutions Engineer,AI-powered reinsurance analytics. GIC Re uses AI for reinsurance risk assessment,"GIC Re's reinsurance requires analyzing massive portfolios for risk aggregation. My Scikit-learn-based portfolio analysis can identify correlated risks across treaties, improving risk management that protects solvency while enabling competitive pricing through accurate risk quantification.",No,
